sample_id,citation,doi,table_or_figure,extraction_route,region,site,site_lat,site_long,ceramic_type,period,date_range_from,date_range_to,d13C_16_0,d13C_18_0,delta_13C,d2H_16_0,author_assignment,extraction_method,derivatisation,instrument,lab,value_from,extraction_confidence,flags
BGY-7,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Ballygalley,,,unknown,Neolithic (unspec),,,-27.9,-33.7,-5.8,,ruminant dairy,,,GC-C-IRMS,,table,high,
BGY-8,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Ballygalley,,,unknown,Neolithic (unspec),,,-28.1,-33.2,-5.1,,ruminant dairy,,,GC-C-IRMS,,table,high,
BGY-9,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Ballygalley,,,unknown,Neolithic (unspec),,,-29.9,-32.9,-3.0,,ruminant adipose,,,GC-C-IRMS,,table,high,
BGY-10,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Ballygalley,,,unknown,Neolithic (unspec),,,-27.2,-30.0,-2.8,,ruminant adipose,,,GC-C-IRMS,,table,high,
BGY-12,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Ballygalley,,,unknown,Neolithic (unspec),,,-27.8,-30.6,-2.8,,ruminant adipose,,,GC-C-IRMS,,table,high,
BGY-21,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Ballygalley,,,unknown,Neolithic (unspec),,,-27.1,-32.9,-5.8,,ruminant dairy,,,GC-C-IRMS,,table,high,
BGY-24,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Ballygalley,,,unknown,Neolithic (unspec),,,-27.6,-32.5,-4.9,,ruminant dairy,,,GC-C-IRMS,,table,high,
BGY-25,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Ballygalley,,,unknown,Neolithic (unspec),,,-26.4,-32.7,-6.3,,ruminant dairy,,,GC-C-IRMS,,table,high,
BGY-27,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Ballygalley,,,unknown,Neolithic (unspec),,,-26.5,-31.8,-5.3,,ruminant dairy,,,GC-C-IRMS,,table,high,
BGY-28,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Ballygalley,,,unknown,Neolithic (unspec),,,-27.4,-30.0,-2.6,,mixed,,,GC-C-IRMS,,table,high,
BGY-30,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Ballygalley,,,unknown,Neolithic (unspec),,,-26.5,-32.5,-6.0,,ruminant dairy,,,GC-C-IRMS,,table,high,
BGY-32,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Ballygalley,,,unknown,Neolithic (unspec),,,-26.8,-33.0,-6.2,,ruminant dairy,,,GC-C-IRMS,,table,high,
BGY-33,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Ballygalley,,,unknown,Neolithic (unspec),,,-28.6,-31.8,-3.2,,mixed,,,GC-C-IRMS,,table,high,
BGY-34,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Ballygalley,,,unknown,Neolithic (unspec),,,-26.7,-31.5,-4.8,,ruminant dairy,,,GC-C-IRMS,,table,high,
HAG-1,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Haggardstown,,,unknown,Neolithic (unspec),,,-29.1,-34.8,-5.7,,ruminant dairy,,,GC-C-IRMS,,table,high,d18_out_of_C3_range
HAG-8,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Haggardstown,,,unknown,Neolithic (unspec),,,-26.2,-31.5,-5.3,,ruminant dairy,,,GC-C-IRMS,,table,high,
HAG-12,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Haggardstown,,,unknown,Neolithic (unspec),,,-27.4,-32.8,-5.4,,ruminant dairy,,,GC-C-IRMS,,table,high,
HAG-13,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Haggardstown,,,unknown,Neolithic (unspec),,,-28.3,-34.2,-5.9,,ruminant dairy,,,GC-C-IRMS,,table,high,d18_out_of_C3_range
HAG-20,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Haggardstown,,,unknown,Neolithic (unspec),,,-27.0,-32.1,-5.1,,ruminant dairy,,,GC-C-IRMS,,table,high,
HAG-21,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Haggardstown,,,unknown,Neolithic (unspec),,,-26.8,-32.1,-5.3,,ruminant dairy,,,GC-C-IRMS,,table,high,
HAG-22,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Haggardstown,,,unknown,Neolithic (unspec),,,-28.8,-33.0,-4.2,,ruminant dairy,,,GC-C-IRMS,,table,high,
HAG-23,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Haggardstown,,,unknown,Neolithic (unspec),,,-27.4,-31.2,-3.8,,ruminant dairy,,,GC-C-IRMS,,table,high,
KIL-1,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Kilmainham 1C,,,unknown,Neolithic (unspec),,,-28.4,-33.8,-5.4,,ruminant dairy,,,GC-C-IRMS,,table,high,
KIL-5,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Kilmainham 1C,,,unknown,Neolithic (unspec),,,-29.5,-33.7,-4.2,,ruminant dairy,,,GC-C-IRMS,,table,high,
KIL-6,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Kilmainham 1C,,,unknown,Neolithic (unspec),,,-28.3,-33.7,-5.4,,ruminant dairy,,,GC-C-IRMS,,table,high,
KIL-7,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Kilmainham 1C,,,unknown,Neolithic (unspec),,,-28.6,-33.1,-4.5,,ruminant dairy,,,GC-C-IRMS,,table,high,
KIL-8,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Kilmainham 1C,,,unknown,Neolithic (unspec),,,-29.9,-34.4,-4.5,,ruminant dairy,,,GC-C-IRMS,,table,high,d18_out_of_C3_range
KIL-9,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Kilmainham 1C,,,unknown,Neolithic (unspec),,,-28.6,-32.3,-3.7,,ruminant dairy,,,GC-C-IRMS,,table,high,
KIL-12,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Kilmainham 1C,,,unknown,Neolithic (unspec),,,-28.2,-33.5,-5.3,,ruminant dairy,,,GC-C-IRMS,,table,high,
KIL-13,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Kilmainham 1C,,,unknown,Neolithic (unspec),,,-29.1,-33.0,-3.9,,ruminant dairy,,,GC-C-IRMS,,table,high,
KIL-14,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Kilmainham 1C,,,unknown,Neolithic (unspec),,,-28.3,-32.1,-3.8,,ruminant dairy,,,GC-C-IRMS,,table,high,
KIL-15,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Kilmainham 1C,,,unknown,Neolithic (unspec),,,-29.0,-33.3,-4.3,,ruminant dairy,,,GC-C-IRMS,,table,high,
KIL-19,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Kilmainham 1C,,,unknown,Neolithic (unspec),,,-28.8,-33.6,-4.8,,ruminant dairy,,,GC-C-IRMS,,table,high,
KIL-21,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Kilmainham 1C,,,unknown,Neolithic (unspec),,,-28.4,-33.5,-5.1,,ruminant dairy,,,GC-C-IRMS,,table,high,
KIL-22,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Kilmainham 1C,,,unknown,Neolithic (unspec),,,-26.9,-32.2,-5.3,,ruminant dairy,,,GC-C-IRMS,,table,high,
MON-9,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Monanny,,,unknown,Neolithic (unspec),,,-25.2,-31.7,-6.5,,ruminant dairy,,,GC-C-IRMS,,table,high,
MON-10,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Monanny,,,unknown,Neolithic (unspec),,,-26.3,-27.6,-1.3,,ruminant adipose,,,GC-C-IRMS,,table,high,
MON-16,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Monanny,,,unknown,Neolithic (unspec),,,-28.6,-33.4,-4.8,,ruminant dairy,,,GC-C-IRMS,,table,high,
MON-23,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Monanny,,,unknown,Neolithic (unspec),,,-27.4,-31.4,-4.0,,ruminant dairy,,,GC-C-IRMS,,table,high,
MON-27,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Monanny,,,unknown,Neolithic (unspec),,,-26.7,-31.9,-5.2,,ruminant dairy,,,GC-C-IRMS,,table,high,
UPC-1,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Upper Campsie,,,unknown,Neolithic (unspec),,,-26.6,-31.3,-4.7,,ruminant dairy,,,GC-C-IRMS,,table,high,
UPC-8,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Upper Campsie,,,unknown,Neolithic (unspec),,,-29.0,-33.3,-4.3,,ruminant dairy,,,GC-C-IRMS,,table,high,
UPC-9,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Upper Campsie,,,unknown,Neolithic (unspec),,,-29.1,-32.3,-3.2,,mixed,,,GC-C-IRMS,,table,high,
UPC-10,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Upper Campsie,,,unknown,Neolithic (unspec),,,-28.6,-33.1,-4.5,,ruminant dairy,,,GC-C-IRMS,,table,high,
UPC-11,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Upper Campsie,,,unknown,Neolithic (unspec),,,-27.9,-32.2,-4.3,,ruminant dairy,,,GC-C-IRMS,,table,high,
UPC-12,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Upper Campsie,,,unknown,Neolithic (unspec),,,-29.0,-32.4,-3.4,,mixed,,,GC-C-IRMS,,table,high,
UPC-13,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Upper Campsie,,,unknown,Neolithic (unspec),,,-28.1,-32.6,-4.5,,ruminant dairy,,,GC-C-IRMS,,table,high,
UPC-14,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Upper Campsie,,,unknown,Neolithic (unspec),,,-28.8,-33.7,-4.9,,ruminant dairy,,,GC-C-IRMS,,table,high,
UPC-16,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Upper Campsie,,,unknown,Neolithic (unspec),,,-28.2,-32.4,-4.2,,ruminant dairy,,,GC-C-IRMS,,table,high,
UPC-17,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Upper Campsie,,,unknown,Neolithic (unspec),,,-28.5,-33.2,-4.7,,ruminant dairy,,,GC-C-IRMS,,table,high,
UPC-19,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Upper Campsie,,,unknown,Neolithic (unspec),,,-27.9,-33.6,-5.7,,ruminant dairy,,,GC-C-IRMS,,table,high,
UPC-22,Smyth & Evershed 2016,10.1179/1749631414Y.0000000045,Appendix 1,tierB_llm,Ireland,Upper Campsie,,,unknown,Neolithic (unspec),,,-27.9,-33.6,-5.7,,ruminant dairy,,,GC-C-IRMS,,table,high,
